1,1,Hidrogenio,1,1.002
1,18,Helio,2,4.002
2,1,Litio,3,6.002
2,2,Berilio,4,8.003
2,13,Boro,5,10.811
2,14,Carbono,6,12.011
2,15,Azoto,7,14.006
2,16,Oxigenio,8,15.999
2,17,Fluor,9,18.998
2,18,Neon,10,20.180
3,1,Sodio,11,22.989
3,2,Magnesio,12,24.305
3,13,Aluminio,13,26.981
3,14,Silicio,14,28.085
3,15,Fosforo,15,30.973
3,16,Enxofre,16,32.066
3,17,Cloro,17,35.453
3,18,Argon,18,39.948
4,1,Potassio,19,39.098
4,2,Calcio,20,40.078
4,3,Escandio,21,44.956
4,4,Titanio,22,47.88
4,5,Vanadio,23,50.941
4,6,Cromo,24,51.996
4,7,Manganesio,25,54.938
4,8,Ferro,26,55.847
4,9,Cobalto,27,58.933
4,10,Niquel,28,58.693
4,11,Cobre,29,63.546
4,12,Zinco,30,65.39
4,13,Galio,31,69.723
4,14,Germanio,32,72.61
4,15,Arsenio,33,74.921
4,16,Selenio,34,78.96
4,17,Bromo,35,79.904
4,18,Kripton,36,83.80
5,1,Rubidio,37,85.467
5,2,Estroncio,38,87.62
5,3,itrio,39,88.905
5,4,Zirconio,40,91.224
5,5,Niobio,41,92.906
5,6,Molibdenio,42,95.94
5,7,Tecnecio,43,(98)
5,8,Rutenio,44,101.07
5,9,Rodio,45,102.905
5,10,Paladio,46,106.42
5,11,Prata,47,107.868
5,12,Cadmio,48,112.411
5,13,indio,49,114.82
5,14,Estanho,50,118.71
5,15,Antimonio,51,121.757
5,16,Telurio,52,127.60
5,17,Iodo,53,126.904
5,18,Xenon,54,131.29
6,1,Cesio,55,132.905
6,2,Bario,56,137.327
6,3,Lantanio,57,138.905
9,1,Cerio,58,140.115
9,2,Praseodimio,59,140.908
9,3,Neodimio,60,144.24
9,4,Promecio,61,144.913
9,5,Samario,62,150.36
9,6,Europio,63,151.965
9,7,Gadolinio,64,157.25
9,8,Terbio,65,158.925
9,9,Disprosio,66,162.50
9,10,Holmio,67,164.930
9,11,erbio,68,167.26
9,12,Tulio,69,168.934
9,13,Iterbio,70,173.04
9,14,Lutecio,71,174.967
6,4,Hafnio,72,178.49
6,5,Tantalo,73,180.947
6,6,Tungstenio,74,183.85
6,7,Renio,75,186.207
6,8,osmio,76,190.2
6,9,Iridio,77,192.22
6,10,Platina,78,195.08
6,11,Ouro,79,196.966
6,12,Mercurio,80,200.59
6,13,Talio,81,204.383
6,14,Chumbo,82,207.2
6,15,Bismuto,83,208.980
6,16,Polonio,84,208.982
6,17,Astato,85,209.987
6,18,Radon,86,222.018
7,1,Francio,87,223.019
7,2,Radio,88,226.025
7,3,Actinio,89,227.027
10,1,Torio,90,232.038
10,2,Protactinio,91,231.036
10,3,Uranio,92,238.029
10,4,Neptunio,93,237.082
10,5,Plutonio,94,(244)
10,6,Americio,95,243.061
10,7,Curio,96,(247)
10,8,Berquelio,97,247.070
10,9,Californio,98,251.080
10,10,Einsteinio,99,(254)
10,11,Fermio,100,257.095
10,12,Mendelevio,101,258.01
10,13,Nobelio,102,259.101
10,14,Laurencio,103,260.105
7,4,Ruterfordio.104,261.11
7,5,Dubnio,105,262.11
7,6,Seaborguio,106,263.12
7,7,Bohrio,107,262.12
7,8,Hassio,108,265.13
7,9,Meitnerio,109,266.137
7,10,Darmstadio,110,(269)
7,11,Roentgenio,111,(272)
7,12,Copernicio,112,(277)
7,13,Ununtrium,113,(284)
7,14,Flerovio,114,(285)
7,15,Ununpentium,115,(288)
7,16,Livermorio,116,(293)
7,17,Ununseptium,117,(294)
7,18,Ununoctum,118,(294)
